1:x 2:y 3:u.x 4:u.y 5:p
4.023430000000000284e+00 1.074220000000000041e+01 8.628360000000000474e-01 2.439890000000000114e-01 2.111590000000000134e-01
4.023430000000000284e+00 1.078120000000000012e+01 8.628360000000000474e-01 2.439890000000000114e-01 2.111590000000000134e-01
4.023430000000000284e+00 1.082029999999999959e+01 9.134809999999999874e-01 2.403990000000000016e-01 1.658799999999999997e-01
4.023430000000000284e+00 1.085940000000000083e+01 9.134809999999999874e-01 2.403990000000000016e-01 1.658799999999999997e-01
4.023430000000000284e+00 1.089840000000000053e+01 9.134809999999999874e-01 2.403990000000000016e-01 1.658799999999999997e-01
4.023430000000000284e+00 1.093750000000000000e+01 9.134809999999999874e-01 2.403990000000000016e-01 1.658799999999999997e-01
4.023430000000000284e+00 1.097659999999999947e+01 9.526489999999999680e-01 2.281080000000000052e-01 1.321680000000000077e-01
4.023430000000000284e+00 1.101559999999999917e+01 9.526489999999999680e-01 2.281080000000000052e-01 1.321680000000000077e-01
4.023430000000000284e+00 1.105470000000000041e+01 9.526489999999999680e-01 2.281080000000000052e-01 1.321680000000000077e-01
4.023430000000000284e+00 1.109370000000000012e+01 9.526489999999999680e-01 2.281080000000000052e-01 1.321680000000000077e-01
4.023430000000000284e+00 1.113279999999999959e+01 9.819339999999999735e-01 2.133390000000000009e-01 1.055939999999999934e-01
4.023430000000000284e+00 1.117190000000000083e+01 9.819339999999999735e-01 2.133390000000000009e-01 1.055939999999999934e-01
4.023430000000000284e+00 1.121090000000000053e+01 9.819339999999999735e-01 2.133390000000000009e-01 1.055939999999999934e-01
4.023430000000000284e+00 1.125000000000000000e+01 9.819339999999999735e-01 2.133390000000000009e-01 1.055939999999999934e-01
4.023430000000000284e+00 1.128909999999999947e+01 1.003400000000000070e+00 1.975480000000000014e-01 8.525259999999999783e-02
4.023430000000000284e+00 1.132809999999999917e+01 1.003400000000000070e+00 1.975480000000000014e-01 8.525259999999999783e-02
4.023430000000000284e+00 1.136720000000000041e+01 1.003400000000000070e+00 1.975480000000000014e-01 8.525259999999999783e-02
4.023430000000000284e+00 1.140620000000000012e+01 1.003400000000000070e+00 1.975480000000000014e-01 8.525259999999999783e-02
4.023430000000000284e+00 1.144529999999999959e+01 1.019269999999999898e+00 1.822779999999999956e-01 6.953070000000000084e-02
4.023430000000000284e+00 1.148440000000000083e+01 1.019269999999999898e+00 1.822779999999999956e-01 6.953070000000000084e-02
4.023430000000000284e+00 1.152340000000000053e+01 1.019269999999999898e+00 1.822779999999999956e-01 6.953070000000000084e-02
4.023430000000000284e+00 1.156250000000000000e+01 1.019269999999999898e+00 1.822779999999999956e-01 6.953070000000000084e-02
